method,epsilon,leakage_auc,power_lazy,power_spoof,flag_rate_honest,flag_rate_lazy,flag_rate_spoof,n_calib_reps
parameter-diff,,0.5,0.63,1.0,,,,12
unrestricted-behavioral,inf,0.5040009011449099,0.5900000000000001,1.0,,,,12
SEAL,0.05,0.5047447162525706,0.52,0.5599999999999999,0.0,0.0,0.0,12
SEAL,0.1,0.5047446795270188,0.52,0.5599999999999999,0.0,0.0,0.0,12
SEAL,0.25,0.5047450599847083,0.52,0.5599999999999999,0.0,0.0,0.0,12
SEAL,0.5,0.504745321551895,0.52,0.5800000000000001,0.0,0.0,0.0,12
SEAL,1.0,0.5047451047021798,0.52,0.5900000000000001,0.0,0.0,0.0,12
SEAL,2.0,0.5047446530865313,0.52,0.64,0.0,0.0,0.0,12
SEAL,4.0,0.5047461501696325,0.52,0.66,0.0,0.0,0.0,12
SEAL,1000000.0,0.5038201231464401,0.52,1.0,0.0,0.0,0.0,12
parameter-diff,,0.5,0.65,1.0,,,,25
unrestricted-behavioral,inf,0.5045855808293578,0.5099999999999999,1.0,,,,25
SEAL,0.05,0.5054781039341092,0.58,0.56,0.2,0.2,0.1,25
SEAL,0.1,0.5054780410553984,0.58,0.56,0.2,0.2,0.1,25
SEAL,0.25,0.5054789179095944,0.58,0.56,0.2,0.2,0.1,25
SEAL,0.5,0.5054788565778123,0.58,0.56,0.2,0.2,0.1,25
SEAL,1.0,0.5054805407573524,0.58,0.5700000000000001,0.2,0.2,0.1,25
SEAL,2.0,0.5054826932949379,0.58,0.59,0.2,0.2,0.1,25
SEAL,4.0,0.5054897861291878,0.58,0.62,0.2,0.2,0.0,25
SEAL,1000000.0,0.5059014384082235,0.58,1.0,0.2,0.2,0.0,25
parameter-diff,,0.5,0.65,1.0,,,,40
unrestricted-behavioral,inf,0.5032104978156593,0.52,1.0,,,,40
SEAL,0.05,0.502162694637162,0.53,0.55,0.1,0.1,0.1,40
SEAL,0.1,0.5021630344754582,0.53,0.55,0.1,0.1,0.1,40
SEAL,0.25,0.5021632449110918,0.53,0.55,0.1,0.1,0.1,40
SEAL,0.5,0.5021636236857365,0.53,0.56,0.1,0.1,0.1,40
SEAL,1.0,0.5021641525843874,0.53,0.5700000000000001,0.1,0.1,0.1,40
SEAL,2.0,0.502167093723152,0.53,0.5700000000000001,0.1,0.1,0.1,40
SEAL,4.0,0.5021719687524233,0.53,0.5800000000000001,0.1,0.1,0.1,40
SEAL,1000000.0,0.5036893579542422,0.53,1.0,0.1,0.1,0.0,40
