method,epsilon,leakage_auc,power_lazy,power_spoof,flag_rate_honest,flag_rate_lazy,flag_rate_spoof,n_calib_reps
parameter-diff,,0.5,0.65,1.0,,,,40
unrestricted-behavioral,inf,0.5032104978156593,0.52,1.0,,,,40
SEAL,0.05,0.502162694637162,0.53,0.55,0.1,0.1,0.1,40
SEAL,0.1,0.5021630344754582,0.53,0.55,0.1,0.1,0.1,40
SEAL,0.25,0.5021632449110918,0.53,0.55,0.1,0.1,0.1,40
SEAL,0.5,0.5021636236857365,0.53,0.56,0.1,0.1,0.1,40
SEAL,1.0,0.5021641525843874,0.53,0.5700000000000001,0.1,0.1,0.1,40
SEAL,2.0,0.502167093723152,0.53,0.5700000000000001,0.1,0.1,0.1,40
SEAL,4.0,0.5021719687524233,0.53,0.5800000000000001,0.1,0.1,0.1,40
SEAL,1000000.0,0.5036893579542422,0.53,1.0,0.1,0.1,0.0,40
