method,epsilon,leakage_auc,power_lazy,power_spoof,flag_rate_honest,flag_rate_lazy,flag_rate_spoof
parameter-diff,,0.5,0.6100000000000001,1.0,,,
unrestricted-behavioral,inf,0.5040099261498748,0.51,1.0,,,
SEAL,0.05,0.5041672987780351,0.54,0.55,0.0,0.0,0.0
SEAL,0.1,0.5041673661990987,0.54,0.55,0.0,0.0,0.0
SEAL,0.25,0.5041675957886715,0.54,0.5599999999999999,0.0,0.0,0.0
SEAL,0.5,0.5041676561716677,0.54,0.5599999999999999,0.0,0.0,0.0
SEAL,1.0,0.5041686113041732,0.54,0.5700000000000001,0.0,0.0,0.0
SEAL,2.0,0.5041686201133282,0.54,0.5700000000000001,0.0,0.0,0.0
SEAL,4.0,0.5041699687723858,0.54,0.62,0.0,0.0,0.0
SEAL,1000000.0,0.5041986847416318,0.54,1.0,0.0,0.0,0.0
