method,epsilon,leakage_auc,power_lazy,power_spoof,flag_rate_honest,flag_rate_lazy,flag_rate_spoof
parameter-diff,,0.5,0.7424999999999999,1.0,,,
unrestricted-behavioral,inf,0.5397230205646127,0.5525,1.0,,,
SEAL,0.05,0.5420524041074632,0.9199999999999999,0.5249999999999999,0.1,0.25,0.1
SEAL,0.1,0.5420524041074632,0.9199999999999999,0.5249999999999999,0.1,0.25,0.1
SEAL,0.25,0.5420625791176382,0.9199999999999999,0.5249999999999999,0.1,0.25,0.1
SEAL,0.5,0.5420527404714359,0.9199999999999999,0.5275000000000001,0.1,0.25,0.1
SEAL,1.0,0.5420627866840139,0.9199999999999999,0.5375,0.1,0.25,0.05
SEAL,2.0,0.5420418930752038,0.9199999999999999,0.56,0.1,0.25,0.05
SEAL,4.0,0.5420196303429196,0.9199999999999999,0.5825,0.1,0.25,0.0
SEAL,1000000.0,0.5399680237433991,0.9199999999999999,1.0,0.0,0.25,0.0
