seed,pdiff_honest,pdiff_lazy,pdiff_spoof,ub_honest,ub_lazy,ub_spoof,ub_leak_honest,seal_eps0.05_lamB_honest,seal_eps0.05_lamB_lazy,seal_eps0.05_lamB_spoof,seal_eps0.05_lamA_honest,seal_eps0.05_lamA_lazy,seal_eps0.05_lamA_spoof,seal_eps0.05_flag_honest,seal_eps0.05_flag_lazy,seal_eps0.05_flag_spoof,seal_eps0.05_leak,seal_eps0.1_lamB_honest,seal_eps0.1_lamB_lazy,seal_eps0.1_lamB_spoof,seal_eps0.1_lamA_honest,seal_eps0.1_lamA_lazy,seal_eps0.1_lamA_spoof,seal_eps0.1_flag_honest,seal_eps0.1_flag_lazy,seal_eps0.1_flag_spoof,seal_eps0.1_leak,seal_eps0.25_lamB_honest,seal_eps0.25_lamB_lazy,seal_eps0.25_lamB_spoof,seal_eps0.25_lamA_honest,seal_eps0.25_lamA_lazy,seal_eps0.25_lamA_spoof,seal_eps0.25_flag_honest,seal_eps0.25_flag_lazy,seal_eps0.25_flag_spoof,seal_eps0.25_leak,seal_eps0.5_lamB_honest,seal_eps0.5_lamB_lazy,seal_eps0.5_lamB_spoof,seal_eps0.5_lamA_honest,seal_eps0.5_lamA_lazy,seal_eps0.5_lamA_spoof,seal_eps0.5_flag_honest,seal_eps0.5_flag_lazy,seal_eps0.5_flag_spoof,seal_eps0.5_leak,seal_eps1_lamB_honest,seal_eps1_lamB_lazy,seal_eps1_lamB_spoof,seal_eps1_lamA_honest,seal_eps1_lamA_lazy,seal_eps1_lamA_spoof,seal_eps1_flag_honest,seal_eps1_flag_lazy,seal_eps1_flag_spoof,seal_eps1_leak,seal_eps2_lamB_honest,seal_eps2_lamB_lazy,seal_eps2_lamB_spoof,seal_eps2_lamA_honest,seal_eps2_lamA_lazy,seal_eps2_lamA_spoof,seal_eps2_flag_honest,seal_eps2_flag_lazy,seal_eps2_flag_spoof,seal_eps2_leak,seal_eps4_lamB_honest,seal_eps4_lamB_lazy,seal_eps4_lamB_spoof,seal_eps4_lamA_honest,seal_eps4_lamA_lazy,seal_eps4_lamA_spoof,seal_eps4_flag_honest,seal_eps4_flag_lazy,seal_eps4_flag_spoof,seal_eps4_leak,seal_eps1e+06_lamB_honest,seal_eps1e+06_lamB_lazy,seal_eps1e+06_lamB_spoof,seal_eps1e+06_lamA_honest,seal_eps1e+06_lamA_lazy,seal_eps1e+06_lamA_spoof,seal_eps1e+06_flag_honest,seal_eps1e+06_flag_lazy,seal_eps1e+06_flag_spoof,seal_eps1e+06_leak
0,0.6298579988001767,0.6259679769268962,81.26762399110413,-0.02133294818257037,-0.019229200717443547,23.237948920301623,0.502098085496984,119.3311756822624,119.29038658041881,125.79787869364219,0.01132053361530438,-0.028944772472677814,24.712625680733158,False,True,False,0.5392079727248885,59.736243816121075,59.695454714277645,66.2029468275009,0.01132053361530438,-0.028944772472677814,24.712625680733158,False,True,False,0.5392079727248885,23.978953254166132,23.938164152322717,30.445656265545995,0.01132053361530438,-0.028944772472677814,24.712625680733158,False,True,False,0.5392079727248885,12.059314463195024,12.018525361351626,18.526017474574896,0.01132053361530438,-0.028944772472677814,24.712625680733158,False,True,False,0.5392341987936008,6.098516288269663,6.057727186426252,12.565219299649536,0.01132053361530438,-0.028944772472677814,24.712625680733158,False,True,False,0.5392341987936008,3.1162916766847446,3.0755025748413347,9.582994688064609,0.01132053361530438,-0.028944772472677814,24.712625680733158,False,True,False,0.5392341987936008,1.6219714732344175,1.5811823713910078,8.088674484614284,0.01132053361530438,-0.028944772472677814,24.712625680733158,False,True,False,0.5392341987936009,0.013204058455294394,-0.027585043388113697,6.479907069835162,0.01132053361530438,-0.028944772472677814,24.712625680733158,False,True,False,0.5160241279832154
1,0.6169471911562284,0.6187186396038243,83.7160683781508,-0.02898846422213946,-0.029870128389047124,23.692808198803068,0.5135171377997103,135.11580832956156,135.09838081932492,142.6098405151003,0.0054961657143513835,-0.02695643898296531,25.2824869072989,False,True,False,0.524969157324465,67.6261626374731,67.60873512723637,75.12019482301176,0.0054961657143513835,-0.02695643898296531,25.2824869072989,False,True,False,0.524969157324465,27.131999872829155,27.114572362592426,34.62603205836781,0.0054961657143513835,-0.02695643898296531,25.2824869072989,False,True,False,0.524969157324465,13.633331888994073,13.615904378757412,21.127364074532736,0.0054961657143513835,-0.02695643898296531,25.2824869072989,False,True,False,0.524969157324465,6.882889455879706,6.865461945643046,14.37692164141837,0.0054961657143513835,-0.02695643898296531,25.2824869072989,False,True,False,0.5249423376066085,3.5056008827142517,3.488173372477592,10.999633068252919,0.0054961657143513835,-0.02695643898296531,25.2824869072989,False,True,False,0.524969157324465,1.8133237389477588,1.7958962287110996,9.307355924486428,0.0054961657143513835,-0.02695643898296531,25.2824869072989,False,True,False,0.5249423376066085,-0.008561770851887788,-0.025989281088547846,7.485470414686784,0.0054961657143513835,-0.02695643898296531,25.2824869072989,False,True,False,0.5001072788714263
2,0.6126030558139755,0.6120362429205249,80.35177969914393,-0.0222253745200392,-0.02305762810078898,26.48286590795566,0.5331041170766111,-505.1650575590062,-505.19063165604354,-498.85839969045577,0.01929000244286656,-0.02531670638772482,24.364535828373864,False,True,False,0.5224955185283141,-252.85893110397228,-252.88450520100963,-246.55227323542175,0.01929000244286656,-0.02531670638772482,24.364535828373864,False,True,False,0.5224955185283141,-101.47385200902148,-101.49942610605888,-95.1671941404711,0.01929000244286656,-0.02531670638772482,24.364535828373864,False,True,False,0.5224955185283141,-51.00986458727014,-51.03543868430752,-44.70320671871972,0.01929000244286656,-0.02531670638772482,24.364535828373864,False,True,False,0.5224955185283141,-25.77372703326253,-25.7993011302999,-19.46706916471211,0.01929000244286656,-0.02531670638772482,24.364535828373864,False,True,False,0.5224367451291545,-13.147929563472092,-13.173503660509471,-6.841271694921678,0.01929000244286656,-0.02531670638772482,24.364535828373864,False,True,False,0.522377971729995,-6.821449602677691,-6.847023699715069,-0.5147917341272739,0.01929000244286656,-0.02531670638772482,24.364535828373864,False,True,False,0.5224073584295748,-0.010436281918924492,-0.036010378956304205,6.296221586631491,0.01929000244286656,-0.02531670638772482,24.364535828373864,False,True,False,0.5116518263833788
3,0.620875671289155,0.6220728117777297,71.17735585232174,-0.029937586547982915,-0.02775044392496894,23.975529462998967,0.5190562613430127,-1764.022692494481,-1764.0370899578174,-1756.577799529131,0.0013183943073897912,-0.019055830093917255,25.33059710397432,False,True,False,0.5237231008555872,-882.9685982996089,-882.9829957629464,-875.5237053342593,0.0013183943073897912,-0.019055830093917255,25.33059710397432,False,True,False,0.5237231008555872,-354.3312417255838,-354.34563918892127,-346.88634876023417,0.0013183943073897912,-0.019055830093917255,25.33059710397432,False,True,False,0.5237231008555872,-178.11077751400055,-178.1251749773379,-170.6658845486509,0.0013183943073897912,-0.019055830093917255,25.33059710397432,False,True,False,0.5237231008555872,-89.98607508991576,-90.00047255325313,-82.54118212456613,0.0013183943073897912,-0.019055830093917255,25.33059710397432,False,True,False,0.5237231008555872,-45.89673524894829,-45.911132712285635,-38.45184228359865,0.0013183943073897912,-0.019055830093917255,25.33059710397432,False,True,False,0.5236942932042751,-23.804639628380336,-23.81903709171768,-16.359746663030695,0.0013183943073897912,-0.019055830093917255,25.33059710397432,False,True,False,0.5237231008555873,-0.020551401177518813,-0.03494886451486047,7.4243415641721215,0.0013183943073897912,-0.019055830093917255,25.33059710397432,False,True,False,0.5035865525883675
4,0.6155350924121206,0.6190837270340158,73.55927770702587,-0.026507814245945404,-0.023164529577562574,24.991719995106447,0.5713920454545455,1001.9558839724637,1001.9298585080521,1008.9544053309895,-0.006231051120840233,-0.02677435881600048,24.966097018642042,False,True,False,0.5079261363636364,501.51589719625935,501.4898717318475,508.51441855478487,-0.006231051120840233,-0.02677435881600048,24.966097018642042,False,True,False,0.5079261363636364,201.24912189108784,201.22309642667594,208.24764324961336,-0.006231051120840233,-0.02677435881600048,24.966097018642042,False,True,False,0.5079261363636364,101.15564595039709,101.12962048598519,108.15416730892264,-0.006231051120840233,-0.02677435881600048,24.966097018642042,False,True,False,0.5079261363636364,51.10068881854626,51.07466335413435,58.09921017707182,-0.006231051120840233,-0.02677435881600048,24.966097018642042,False,True,False,0.5079261363636364,26.057880672755804,26.031855208343895,33.05640203128135,-0.006231051120840233,-0.02677435881600048,24.966097018642042,False,True,False,0.5079261363636364,13.509538734320449,13.48351326990855,20.508060092846005,-0.006231051120840233,-0.02677435881600048,24.966097018642042,False,True,False,0.5079829545454545,0.00014257314346427242,-0.0258828912684397,6.998663931669015,-0.006231051120840233,-0.02677435881600048,24.966097018642042,False,True,False,0.5694602272727273
5,0.6150124749872682,0.6113694965365402,79.94632511921047,-0.0037339299725930686,-0.009423592868316953,25.14672246513244,0.5008717244294167,-1590.4805539115478,-1590.535912774637,-1584.0721982042146,0.02825765944567369,-0.01427574512201459,24.038662981025844,False,True,False,0.5211855452240067,-796.081450989515,-796.1368098526042,-789.6730952821821,0.02825765944567369,-0.01427574512201459,24.038662981025844,False,True,False,0.5211855452240067,-319.43757111828035,-319.4929299813695,-313.0292154109473,0.02825765944567369,-0.01427574512201459,24.038662981025844,False,True,False,0.5211855452240067,-160.54905382001888,-160.6044126831081,-154.1406981126858,0.02825765944567369,-0.01427574512201459,24.038662981025844,False,True,False,0.5211855452240067,-81.09174806294467,-81.1471069260339,-74.6833923556116,0.02825765944567369,-0.01427574512201459,24.038662981025844,False,True,False,0.5212383770076078,-41.33876098887013,-41.39411985195933,-34.93040528153706,0.02825765944567369,-0.01427574512201459,24.038662981025844,False,True,False,0.5212383770076078,-21.419506248121774,-21.474865111210985,-15.011150540788709,0.02825765944567369,-0.01427574512201459,24.038662981025844,False,True,False,0.5211327134404058,0.02532724848008149,-0.030031614609127514,6.433682955813152,0.02825765944567369,-0.01427574512201459,24.038662981025844,False,True,False,0.5110682586644124
6,0.6172754590541996,0.6178124383802639,66.95881667033844,-0.013083527135408833,-0.012119092464254327,24.6930825318877,0.5133174657146096,-908.4377003158645,-908.4756279942891,-901.5101535801248,0.021858876889893297,-0.012952221037099112,22.865406978883456,False,True,False,0.5404340927122294,-454.6943206332523,-454.73224831167664,-447.76677389751256,0.021858876889893297,-0.012952221037099112,22.865406978883456,False,True,False,0.5404340927122294,-182.4457692913789,-182.4836969698032,-175.5182225556391,0.021858876889893297,-0.012952221037099112,22.865406978883456,False,True,False,0.5404057576787941,-91.69212598225728,-91.7300536606816,-84.7645792465175,0.021858876889893297,-0.012952221037099112,22.865406978883456,False,True,False,0.5404057576787941,-46.307852105215844,-46.34577978364018,-39.380305369476076,0.021858876889893297,-0.012952221037099112,22.865406978883456,False,True,False,0.5404057576787941,-23.601816006834046,-23.63974368525838,-16.674269271094268,0.021858876889893297,-0.012952221037099112,22.865406978883456,False,True,False,0.5403774226453588,-12.224373694045932,-12.262301372470265,-5.296826958306153,0.021858876889893297,-0.012952221037099112,22.865406978883456,False,True,False,0.5403207525784881,0.024445812027992068,-0.013481866396341403,6.951992547767772,0.021858876889893297,-0.012952221037099112,22.865406978883456,False,True,False,0.544486002493483
7,0.6289711804852739,0.628834052734327,72.92627343930805,-0.017472558935097027,-0.018198172806917157,24.663918565074894,0.512275664034458,-304.53520742030594,-304.5607421548827,-297.3238855114142,0.01500950510971145,-0.015276346022310443,25.325930941986265,False,True,False,0.5267193108399139,-152.42451899193634,-152.45005372651306,-145.2131970830443,0.01500950510971145,-0.015276346022310443,25.325930941986265,False,True,False,0.5267193108399139,-61.15725995841434,-61.182794692991045,-53.945938049522354,0.01500950510971145,-0.015276346022310443,25.325930941986265,False,True,False,0.5267193108399139,-30.733457035296606,-30.75899176987329,-23.522135126404645,0.01500950510971145,-0.015276346022310443,25.325930941986265,False,True,False,0.5267193108399139,-15.519057327498535,-15.544592062075232,-8.307735418606558,0.01500950510971145,-0.015276346022310443,25.325930941986265,False,True,False,0.5267480258435031,-7.90719798793048,-7.932732722507175,-0.695876079038506,0.01500950510971145,-0.015276346022310443,25.325930941986265,False,True,False,0.5267767408470926,-4.093080448710815,-4.118615183287506,3.1182414601811685,0.01500950510971145,-0.015276346022310443,25.325930941986265,False,True,False,0.5268341708542714,0.013153274868834249,-0.012381459707859272,7.224475183760814,0.01500950510971145,-0.015276346022310443,25.325930941986265,False,True,False,0.5383201722900215
8,0.6157490652974162,0.6182530429239554,80.58020386944244,-0.029256884474007875,-0.03031787513076333,24.529314939566582,0.5143202350550566,-862.3144877061882,-862.3235980904378,-854.9498113237669,0.004340105084302324,-0.023852937027804957,25.350145664034045,False,True,False,0.5235741549276437,-431.62783158075484,-431.6369419650048,-424.2631551983336,0.004340105084302324,-0.023852937027804957,25.350145664034045,False,True,False,0.5235741549276437,-173.21344260511316,-173.22255298936307,-165.848766222692,0.004340105084302324,-0.023852937027804957,25.350145664034045,False,True,False,0.5236016146305297,-87.07139642176976,-87.08050680601967,-79.7067200393486,0.004340105084302324,-0.023852937027804957,25.350145664034045,False,True,False,0.5236016146305297,-43.99329978825789,-44.002410172507815,-36.62862340583673,0.004340105084302324,-0.023852937027804957,25.350145664034045,False,True,False,0.5236016146305297,-22.441058589905083,-22.450168974155005,-15.076382207483917,0.004340105084302324,-0.023852937027804957,25.350145664034045,False,True,False,0.5235741549276437,-11.641754832829221,-11.650865217079149,-4.277078450408062,0.004340105084302324,-0.023852937027804957,25.350145664034045,False,True,False,0.5235466952247576,-0.01535244158102727,-0.02446282583095489,7.349323940840133,0.004340105084302324,-0.023852937027804957,25.350145664034045,False,True,False,0.5082791004201335
9,0.6129460757551034,0.6197101343110358,71.95642272467525,-0.025138746050303525,-0.02280801971619738,24.02236470771928,0.513993599826436,-671.8876271724241,-671.910845761627,-665.0512729911638,0.001535858622513579,-0.02088856726281675,25.33507514207098,False,False,False,0.5066442479796063,-336.3054165417882,-336.3286351309912,-329.46906236052814,0.001535858622513579,-0.02088856726281675,25.33507514207098,False,False,False,0.5066442479796063,-134.9542237944684,-134.9774423836713,-128.1178696132082,0.001535858622513579,-0.02088856726281675,25.33507514207098,False,False,False,0.5066442479796063,-67.83410786955427,-67.85732645875719,-60.99775368829409,0.001535858622513579,-0.02088856726281675,25.33507514207098,False,False,False,0.5066442479796063,-34.26853834834809,-34.29175693755101,-27.432184167087907,0.001535858622513579,-0.02088856726281675,25.33507514207098,False,False,False,0.5066442479796063,-17.475473964942882,-17.498692554145794,-10.6391197836827,0.001535858622513579,-0.02088856726281675,25.33507514207098,False,False,False,0.5066171286000976,-9.060877932007566,-9.084096521210485,-2.2245237507473887,0.001535858622513579,-0.02088856726281675,25.33507514207098,False,False,False,0.5066442479796063,-0.0018236041203548393,-0.025042193323273853,6.834530577139825,0.001535858622513579,-0.02088856726281675,25.33507514207098,False,False,False,0.5149156587297283
