=== german_credit ===  n=1000  features=48  classes=2
  ran 20 trials in 26.9s
                 method    epsilon  leakage_auc  power_lazy  power_spoof  flag_rate_honest  flag_rate_lazy  flag_rate_spoof
         parameter-diff        NaN     0.500000      0.7425       1.0000               NaN             NaN              NaN
unrestricted-behavioral        inf     0.539723      0.5525       1.0000               NaN             NaN              NaN
                   SEAL       0.05     0.542052      0.9200       0.5250              0.15            0.30             0.15
                   SEAL       0.10     0.542052      0.9200       0.5250              0.15            0.30             0.15
                   SEAL       0.25     0.542063      0.9200       0.5250              0.15            0.30             0.15
                   SEAL       0.50     0.542053      0.9200       0.5275              0.15            0.30             0.15
                   SEAL       1.00     0.542063      0.9200       0.5375              0.15            0.30             0.15
                   SEAL       2.00     0.542042      0.9200       0.5600              0.15            0.30             0.10
                   SEAL       4.00     0.542020      0.9200       0.5825              0.15            0.30             0.05
                   SEAL 1000000.00     0.539968      0.9200       1.0000              0.00            0.25             0.00
=== mnist ===  n=5000  features=784  classes=10
  ran 12 trials in 274.4s
                 method    epsilon  leakage_auc  power_lazy  power_spoof  flag_rate_honest  flag_rate_lazy  flag_rate_spoof
         parameter-diff        NaN     0.500000    0.597222     1.000000               NaN             NaN              NaN
unrestricted-behavioral        inf     0.520035    0.500000     1.000000               NaN             NaN              NaN
                   SEAL       0.05     0.526487    1.000000     0.541667          0.083333        0.916667         0.083333
                   SEAL       0.10     0.526487    1.000000     0.541667          0.083333        0.916667         0.083333
                   SEAL       0.25     0.526487    1.000000     0.548611          0.083333        0.916667         0.083333
                   SEAL       0.50     0.526489    1.000000     0.555556          0.083333        0.916667         0.083333
                   SEAL       1.00     0.526491    1.000000     0.555556          0.083333        0.916667         0.083333
                   SEAL       2.00     0.526479    1.000000     0.618056          0.083333        0.916667         0.000000
                   SEAL       4.00     0.526478    1.000000     0.652778          0.083333        0.916667         0.000000
                   SEAL 1000000.00     0.526977    1.000000     1.000000          0.000000        0.916667         0.000000
